Country,Region,Mortality,Poverty,Population
Algeria,Africa,2.40%,,41.39 million
Angola,Africa,8.11%,,29.82 million
Benin,Africa,9.83%,49.60%,11.18 million
Botswana,Africa,3.76%,,2.21 million
Burkina Faso,Africa,8.12%,43.70%,19.19 million
Burundi,Africa,6.12%,71.70%,10.83 million
Cameroon,Africa,8.40%,23.80%,24.57 million
Cape Verde,Africa,1.74%,,"537,000.00"
Central African Republic,Africa,12.15%,,4.60 million
Chad,Africa,12.32%,,15.02 million
Comoros,Africa,6.90%,18.10%,"814,000.00"
Congo,Africa,4.75%,,5.11 million
Cote d'Ivoire,Africa,8.88%,28.20%,24.44 million
Democratic Republic of Congo,Africa,9.11%,77.10%,81.40 million
Djibouti,Africa,6.17%,22.50%,"944,000.00"
Egypt,Africa,2.21%,1.30%,96.44 million
Equatorial Guinea,Africa,8.96%,,1.26 million
Eritrea,Africa,4.31%,,3.41 million
Eswatini,Africa,5.39%,,1.13 million
Ethiopia,Africa,5.85%,26.70%,106.40 million
Gabon,Africa,4.83%,3.40%,2.06 million
Gambia,Africa,6.36%,10.10%,2.21 million
Ghana,Africa,4.93%,12.00%,29.12 million
Guinea,Africa,8.57%,35.30%,12.07 million
Guinea-Bissau,Africa,8.42%,,1.83 million
Kenya,Africa,4.56%,36.80%,50.22 million
Lesotho,Africa,8.59%,,2.09 million
Liberia,Africa,7.47%,38.60%,4.70 million
Libya,Africa,1.24%,,6.58 million
Mali,Africa,10.60%,,18.51 million
Mauritania,Africa,7.90%,6.00%,4.28 million
Mauritius,Africa,1.31%,0.50%,1.26 million
Morocco,Africa,2.33%,1.00%,35.58 million
Mozambique,Africa,7.24%,62.90%,28.65 million
Namibia,Africa,4.42%,13.40%,2.40 million
Niger,Africa,8.45%,44.50%,21.60 million
Nigeria,Africa,10.02%,,190.87 million
Rwanda,Africa,3.79%,56.00%,11.98 million
Sao Tome and Principe,Africa,3.24%,,"207,000.00"
Senegal,Africa,4.54%,,15.42 million
Seychelles,Africa,1.42%,1.10%,"96,000.00"
Sierra Leone,Africa,11.05%,,7.49 million
Somalia,Africa,12.72%,,14.59 million
South Africa,Africa,3.71%,18.90%,57.01 million
South Sudan,Africa,9.64%,,10.91 million
Sudan,Africa,6.32%,,40.81 million
Tanzania,Africa,5.40%,,54.66 million
Togo,Africa,7.29%,49.20%,7.70 million
Tunisia,Africa,1.30%,,11.43 million
Uganda,Africa,4.90%,41.60%,41.17 million
Zambia,Africa,6.00%,57.50%,16.85 million
Zimbabwe,Africa,5.03%,,14.24 million
Afghanistan,Asia,6.79%,,36.30 million
Bahrain,Asia,0.73%,,1.49 million
Bangladesh,Asia,3.24%,14.80%,159.68 million
Bhutan,Asia,3.08%,1.50%,"746,000.00"
Brunei,Asia,1.05%,,"424,000.00"
Cambodia,Asia,2.92%,,16.01 million
China,Asia,0.93%,0.70%,1.42 billion
Hong Kong,Asia,,,7.31 million
India,Asia,3.94%,,1.34 billion
Indonesia,Asia,2.54%,5.70%,264.65 million
Iran,Asia,1.49%,0.20%,80.67 million
Iraq,Asia,3.04%,2.50%,37.55 million
Israel,Asia,0.36%,0.50%,8.24 million
Japan,Asia,0.26%,,127.50 million
Jordan,Asia,1.70%,,9.79 million
Kazakhstan,Asia,1.00%,0.00%,18.08 million
Kuwait,Asia,0.81%,,4.06 million
Kyrgyzstan,Asia,2.00%,1.40%,6.19 million
Laos,Asia,6.34%,22.70%,6.95 million
Lebanon,Asia,0.78%,,6.82 million
Macao,Asia,,,"623,000.00"
Malaysia,Asia,0.79%,0.00%,31.11 million
Maldives,Asia,0.79%,,"496,000.00"
Mongolia,Asia,1.72%,0.50%,3.11 million
Myanmar,Asia,4.86%,6.40%,53.38 million
Nepal,Asia,3.37%,,27.63 million
North Korea,Asia,1.90%,,25.43 million
Oman,Asia,1.13%,,4.67 million
Pakistan,Asia,7.49%,4.00%,207.91 million
Palestine,Asia,2.09%,1.00%,4.75 million
Philippines,Asia,2.81%,,105.17 million
Qatar,Asia,0.76%,,2.73 million
